Sido,Sigun,id,moon,hong,ahn,yoo,shim,etc,1st,1st_C,2nd,2nd_C,gap,final
서울,종로구,11110,0.416,0.218,0.218,0.073,0.07,0.005,0.416,Moon,0.218,Hong,0.198,0.416
서울,중구,11140,0.412,0.217,0.235,0.071,0.06,0.005,0.412,Moon,0.235,Ahn,0.178,0.412
서울,용산구,11170,0.393,0.239,0.217,0.08,0.066,0.004,0.393,Moon,0.239,Hong,0.155,0.393
서울,성동구,11200,0.428,0.2,0.226,0.078,0.064,0.004,0.428,Moon,0.226,Ahn,0.203,0.428
서울,광진구,11215,0.441,0.194,0.221,0.072,0.069,0.004,0.441,Moon,0.221,Ahn,0.22,0.441
서울,동대문구,11230,0.421,0.219,0.227,0.064,0.064,0.005,0.421,Moon,0.227,Ahn,0.194,0.421
서울,중랑구,11260,0.421,0.214,0.237,0.06,0.064,0.004,0.421,Moon,0.237,Ahn,0.184,0.421
서울,성북구,11290,0.438,0.195,0.226,0.067,0.07,0.004,0.438,Moon,0.226,Ahn,0.213,0.438
서울,강북구,11305,0.427,0.201,0.246,0.057,0.064,0.005,0.427,Moon,0.246,Ahn,0.181,0.427
서울,도봉구,11320,0.416,0.208,0.243,0.063,0.065,0.004,0.416,Moon,0.243,Ahn,0.172,0.416
서울,노원구,11350,0.424,0.181,0.258,0.067,0.066,0.004,0.424,Moon,0.258,Ahn,0.166,0.424
서울,은평구,11380,0.443,0.19,0.23,0.062,0.069,0.006,0.443,Moon,0.23,Ahn,0.214,0.443
서울,서대문구,11410,0.444,0.192,0.219,0.07,0.072,0.004,0.444,Moon,0.219,Ahn,0.225,0.444
서울,마포구,11440,0.458,0.182,0.205,0.074,0.077,0.004,0.458,Moon,0.205,Ahn,0.253,0.458
서울,양천구,11470,0.432,0.196,0.232,0.074,0.062,0.004,0.432,Moon,0.232,Ahn,0.2,0.432
서울,강서구,11500,0.444,0.194,0.223,0.07,0.066,0.004,0.444,Moon,0.223,Ahn,0.222,0.444
서울,구로구,11530,0.436,0.213,0.222,0.062,0.063,0.004,0.436,Moon,0.222,Ahn,0.214,0.436
서울,금천구,11545,0.437,0.201,0.238,0.057,0.063,0.005,0.437,Moon,0.238,Ahn,0.199,0.437
서울,영등포구,11560,0.427,0.216,0.218,0.073,0.062,0.004,0.427,Moon,0.218,Ahn,0.209,0.427
서울,동작구,11590,0.441,0.197,0.219,0.075,0.064,0.004,0.441,Moon,0.219,Ahn,0.223,0.441
서울,관악구,11620,0.457,0.171,0.227,0.068,0.072,0.005,0.457,Moon,0.227,Ahn,0.23,0.457
서울,서초구,11650,0.364,0.256,0.219,0.1,0.057,0.003,0.364,Moon,0.256,Hong,0.108,0.364
서울,강남구,11680,0.354,0.268,0.22,0.099,0.056,0.004,0.354,Moon,0.268,Hong,0.086,0.354
서울,송파구,11710,0.403,0.224,0.225,0.085,0.059,0.003,0.403,Moon,0.225,Ahn,0.178,0.403
서울,강동구,11740,0.413,0.222,0.228,0.072,0.061,0.004,0.413,Moon,0.228,Ahn,0.186,0.413
부산,중구,26110,0.348,0.375,0.164,0.065,0.045,0.004,0.375,Hong,0.348,Moon,0.027,-0.375
부산,서구,26140,0.345,0.37,0.167,0.069,0.044,0.005,0.37,Hong,0.345,Moon,0.026,-0.37
부산,동구,26170,0.338,0.382,0.169,0.062,0.045,0.005,0.382,Hong,0.338,Moon,0.044,-0.382
부산,영도구,26200,0.388,0.326,0.168,0.069,0.044,0.004,0.388,Moon,0.326,Hong,0.061,0.388
부산,부산진구,26230,0.388,0.324,0.166,0.069,0.049,0.004,0.388,Moon,0.324,Hong,0.063,0.388
부산,동래구,26260,0.377,0.33,0.167,0.073,0.049,0.004,0.377,Moon,0.33,Hong,0.046,0.377
부산,남구,26290,0.378,0.326,0.171,0.072,0.048,0.004,0.378,Moon,0.326,Hong,0.052,0.378
부산,북구,26320,0.412,0.302,0.161,0.072,0.049,0.004,0.412,Moon,0.302,Hong,0.111,0.412
부산,해운대구,26350,0.384,0.304,0.182,0.079,0.047,0.004,0.384,Moon,0.304,Hong,0.08,0.384
부산,사하구,26380,0.391,0.309,0.174,0.071,0.051,0.004,0.391,Moon,0.309,Hong,0.082,0.391
부산,금정구,26410,0.368,0.333,0.164,0.08,0.05,0.004,0.368,Moon,0.333,Hong,0.035,0.368
부산,강서구,26440,0.45,0.273,0.155,0.071,0.046,0.004,0.45,Moon,0.273,Hong,0.176,0.45
부산,연제구,26470,0.383,0.323,0.17,0.072,0.049,0.003,0.383,Moon,0.323,Hong,0.06,0.383
부산,수영구,26500,0.368,0.336,0.171,0.071,0.05,0.004,0.368,Moon,0.336,Hong,0.033,0.368
부산,사상구,26530,0.414,0.312,0.154,0.068,0.048,0.004,0.414,Moon,0.312,Hong,0.102,0.414
부산,기장군,26710,0.419,0.282,0.169,0.072,0.053,0.004,0.419,Moon,0.282,Hong,0.137,0.419
대구,중구,27110,0.221,0.475,0.138,0.114,0.046,0.006,0.475,Hong,0.221,Moon,0.255,-0.475
대구,동구,27140,0.21,0.444,0.139,0.159,0.042,0.006,0.444,Hong,0.21,Moon,0.234,-0.444
대구,서구,27170,0.173,0.542,0.14,0.097,0.042,0.006,0.542,Hong,0.173,Moon,0.368,-0.542
대구,남구,27200,0.199,0.505,0.14,0.104,0.045,0.006,0.505,Hong,0.199,Moon,0.306,-0.505
대구,북구,27230,0.227,0.441,0.154,0.123,0.05,0.005,0.441,Hong,0.227,Moon,0.214,-0.441
대구,수성구,27260,0.228,0.433,0.154,0.136,0.045,0.005,0.433,Hong,0.228,Moon,0.204,-0.433
대구,달서구,27290,0.222,0.444,0.155,0.122,0.05,0.006,0.444,Hong,0.222,Moon,0.223,-0.444
대구,달성군,27710,0.231,0.437,0.156,0.116,0.053,0.006,0.437,Hong,0.231,Moon,0.206,-0.437
인천,중구,28110,0.406,0.234,0.223,0.061,0.07,0.006,0.406,Moon,0.234,Hong,0.172,0.406
인천,동구,28140,0.371,0.257,0.236,0.056,0.074,0.006,0.371,Moon,0.257,Hong,0.114,0.371
인천,남구,28170,0.381,0.24,0.241,0.062,0.072,0.005,0.381,Moon,0.241,Ahn,0.14,0.381
인천,연수구,28185,0.414,0.202,0.232,0.077,0.07,0.005,0.414,Moon,0.232,Ahn,0.182,0.414
인천,남동구,28200,0.417,0.203,0.238,0.065,0.071,0.005,0.417,Moon,0.238,Ahn,0.179,0.417
인천,부평구,28237,0.427,0.193,0.24,0.063,0.072,0.005,0.427,Moon,0.24,Ahn,0.187,0.427
인천,계양구,28245,0.434,0.182,0.237,0.065,0.077,0.005,0.434,Moon,0.237,Ahn,0.196,0.434
인천,서구,28260,0.433,0.184,0.236,0.068,0.073,0.005,0.433,Moon,0.236,Ahn,0.197,0.433
인천,강화군,28710,0.279,0.391,0.219,0.051,0.052,0.008,0.391,Hong,0.279,Moon,0.112,-0.391
인천,옹진군,28720,0.27,0.401,0.212,0.06,0.045,0.012,0.401,Hong,0.27,Moon,0.13,-0.401
